unique_id,url_len,ip_add,website_domain,registered_domain,https,js_len,js_obf_len,server_loc,most_visitors_loc,website_exist_time,unique_users_day
71882,29,73.85.125.79,com,incomplete,yes,233,58,Americas,Africa,26.38898088,120
1131401,35,114.156.236.159,com,incomplete,yes,50,39,Asia,Oceania,298.2021119,300
385961,24,85.43.64.71,com,complete,yes,107,72,Europe,Europe,89.10079582,426
1159339,32,197.67.44.161,com,incomplete,no,168,87,Africa,Oceania,362.4686408,584
506943,49,19.44.69.11,edu,complete,yes,259,79,Americas,Europe,119.8307538,193
294264,56,198.98.241.4,edu,complete,yes,208,114,Americas,Oceania,237.9859876,3701
1087725,33,50.173.58.237,net,complete,yes,176,43,Americas,Asia,260.2125421,81
964098,32,214.124.140.138,org,complete,yes,239,36,Americas,Asia,223.4916891,520
929242,57,44.152.197.118,org,complete,yes,172,52,Americas,Africa,119.7740609,234
1183938,66,141.193.137.19,il.us,incomplete,yes,80,57,Americas,Europe,331.906488,2883
779105,20,161.186.229.171,org,incomplete,yes,246,44,Americas,Asia,314.3295933,203
758674,18,185.152.158.78,us,incomplete,yes,188,61,Europe,Europe,264.6876391,177
262456,58,60.36.64.14,com,complete,no,214,82,Asia,Africa,199.9078551,534
163181,31,131.138.23.163,com,complete,yes,125,29,Americas,Americas,267.7011344,485
806772,31,149.23.231.232,edu,incomplete,yes,121,76,Americas,Africa,357.072118,3006
446765,50,80.53.6.108,edu,complete,yes,207,62,Europe,Asia,64.78276949,258
474665,27,195.184.85.53,ca,complete,yes,129,38,Europe,Europe,313.0235255,542
476212,42,203.139.120.137,org,incomplete,yes,222,44,Asia,Americas,31.12839163,33
254233,33,149.124.123.91,com,complete,yes,229,42,Americas,Oceania,200.084815,80
240053,53,196.227.102.162,co.uk,incomplete,yes,259,47,Africa,Americas,3.686333544,10
228697,23,3.25.171.201,com,complete,yes,214,88,Oceania,Americas,234.8411601,97
764264,50,126.12.24.79,de,complete,yes,140,22,Asia,Africa,297.7260605,300
771524,38,185.4.177.25,com,incomplete,yes,132,67,Europe,Asia,184.8697134,620
204631,36,154.27.196.241,org,complete,yes,135,1,Americas,Africa,275.6027867,1192
99803,60,21.122.224.225,edu,incomplete,yes,219,62,Americas,Africa,281.6614273,392
88096,22,49.81.185.180,co.uk,complete,yes,152,59,Asia,Oceania,228.563263,347
31189,18,220.113.91.45,com,complete,yes,146,83,Asia,Africa,137.4206123,411
1102804,35,34.37.43.46,com,incomplete,no,150,24,Americas,Oceania,47.31711949,325
87342,25,164.94.58.105,com,complete,no,208,14,Americas,Asia,269.07832,2451
258705,36,104.91.43.119,com,incomplete,yes,94,77,Americas,Asia,184.9031787,160
56916,29,181.164.203.125,edu,complete,yes,158,101,Americas,Europe,335.6907063,497
126663,32,215.16.67.220,org,complete,no,137,63,Americas,Asia,58.53292778,34
494934,27,19.160.229.240,org,complete,yes,198,84,Americas,Oceania,135.6788728,267
122533,37,77.165.116.8,at,complete,no,82,53,Europe,Americas,45.11368278,55
1121065,31,88.8.80.21,edu.au,complete,yes,119,37,Europe,Europe,217.3575064,223
339923,56,92.148.73.148,edu,complete,no,179,59,Europe,Europe,326.9245919,272
340600,24,200.221.65.212,com,incomplete,yes,209,36,Americas,Asia,341.7344383,3815
224445,21,185.121.91.154,com,incomplete,no,165,21,Europe,Asia,206.3493737,615
34616,97,173.224.131.216,com,complete,yes,208,81,Americas,Americas,359.2384723,932
358843,41,194.229.37.47,com,incomplete,yes,132,75,Europe,Americas,200.084559,185
649771,57,164.203.186.124,com,complete,yes,120,36,Americas,Africa,24.52342907,202
574601,20,138.214.107.190,org,complete,yes,180,64,Americas,Africa,281.3584691,1203
626023,50,182.45.12.138,com,complete,no,232,54,Asia,Europe,217.807957,213
990024,22,95.155.116.33,com,complete,yes,215,60,Europe,Europe,107.2466981,353
984642,26,208.203.92.184,com,complete,no,216,29,Americas,Americas,145.7345844,337
805842,47,93.177.114.3,edu,complete,no,173,28,Europe,Europe,33.58112099,47
964057,70,9.90.198.94,com,incomplete,no,192,33,Americas,Americas,141.9390006,74
15278,46,8.18.5.248,org,complete,no,233,55,Americas,Asia,281.6745367,272
384175,34,163.152.218.35,com,complete,yes,232,28,Asia,Africa,326.7350511,1367
624741,42,109.106.248.122,com,complete,no,151,40,Europe,Africa,157.1245875,222
560092,38,124.52.215.111,edu,complete,no,160,-27,Asia,Oceania,36.55488056,98
986993,44,93.169.118.195,edu,complete,yes,203,46,Asia,Oceania,283.7016911,946
503669,33,150.227.65.205,co.uk,complete,yes,61,-6,Europe,Europe,194.2357947,504
456487,31,176.158.148.80,com,complete,yes,117,47,Europe,Americas,67.17266271,206
1026489,22,85.95.84.143,com,incomplete,yes,265,49,Europe,Europe,14.98275807,17
890940,31,169.106.57.122,org,complete,yes,101,95,Americas,Europe,154.6381857,220
44785,29,76.163.193.51,lt,complete,yes,81,64,Americas,Africa,364.5897628,523
758967,28,114.108.104.232,com,complete,yes,159,82,Asia,Oceania,223.6819492,574
599413,27,159.12.25.233,edu,complete,yes,270,50,Europe,Oceania,181.6812089,7
927796,29,156.227.61.157,com,complete,no,183,66,Asia,Oceania,177.7057069,247
285318,32,62.185.95.136,com,incomplete,yes,91,4,Europe,Africa,329.0219916,1018
324061,23,70.65.108.206,com,complete,no,133,49,Americas,Americas,192.3352597,327
1135293,37,189.193.159.232,com,incomplete,yes,100,54,Americas,Americas,70.1826212,159
1028391,49,14.113.188.204,com,incomplete,no,215,42,Asia,Europe,88.12946105,165
489274,26,204.113.81.229,ns.ca,complete,yes,87,64,Americas,Asia,67.93135477,129
146432,28,98.119.9.205,blogspot.com,complete,yes,144,0,Americas,Americas,168.5946623,296
379192,34,94.107.117.206,com,incomplete,no,104,66,Europe,Africa,102.4957434,400
1045741,26,159.65.207.94,com,complete,no,265,44,Europe,Europe,35.45923374,16
146143,32,137.114.35.182,ch,incomplete,yes,147,70,Americas,Oceania,186.9858938,297
922932,23,114.198.133.246,com,complete,no,211,45,Asia,Africa,351.6848311,759
258759,30,116.75.80.201,com,complete,yes,139,69,Asia,Europe,163.8221234,672
242081,27,71.21.11.77,org,incomplete,yes,111,64,Americas,Americas,100.6069114,107
1148264,27,193.89.108.177,ca,incomplete,yes,113,48,Europe,Americas,134.2917436,6
562527,43,134.21.74.155,com,complete,yes,199,62,Europe,Africa,317.5946344,72
763509,69,207.175.2.214,com,incomplete,yes,106,31,Americas,Americas,196.9731731,311
362087,32,88.116.224.167,com,incomplete,yes,134,37,Europe,Americas,56.57954355,260
996748,29,84.191.34.136,com,complete,yes,298,79,Europe,Europe,21.13554704,16
171019,25,156.213.159.217,com,complete,yes,184,56,Africa,Europe,188.4163504,267
1190193,22,118.213.57.18,com,incomplete,no,230,62,Asia,Africa,331.0350519,356
697624,25,74.9.46.37,net,complete,yes,159,91,Americas,Americas,338.1726832,562
167376,74,167.139.107.199,com,complete,yes,221,13,Asia,Asia,294.4030996,47
34631,28,122.50.42.34,org,complete,yes,187,64,Asia,Europe,276.1812072,2052
666002,31,152.88.106.44,edu,complete,yes,39,58,Europe,Asia,197.1969841,198
1161502,49,76.32.46.26,com,incomplete,no,390,255,Americas,Europe,197.1915207,322
1058103,32,61.210.140.58,ca,complete,no,126,94,Asia,Oceania,102.4031836,135
659354,55,64.26.154.125,org,complete,no,178,53,Americas,Asia,321.5639834,1159
777659,43,203.246.126.180,net,complete,yes,179,32,Asia,Americas,84.35978126,477
68280,31,104.87.151.21,com,incomplete,yes,116,58,Americas,Africa,173.1108357,691
287698,32,49.63.140.238,edu,complete,yes,141,41,Asia,Asia,97.46315558,287
629728,47,115.92.118.199,ca,complete,yes,217,28,Asia,Americas,237.9238162,791
714774,18,63.247.109.35,cc,complete,yes,159,121,Americas,Africa,302.2518513,101
668607,54,59.195.34.125,com,complete,yes,172,76,Asia,Europe,164.5626165,699
204285,22,206.236.244.177,com,complete,no,50,91,Americas,Europe,239.9856296,3734
966827,19,136.147.36.106,com,complete,no,153,12,Americas,Europe,24.23093496,20
1187083,60,119.18.191.23,com,complete,yes,111,83,Asia,Oceania,308.3476296,818
1033146,33,33.241.136.35,com,complete,yes,217,10,Americas,Africa,50.23620232,64
480932,27,15.238.206.17,org,complete,yes,150,71,Americas,Oceania,310.9011292,722
632115,29,23.117.211.98,com,complete,yes,101,49,Americas,Americas,265.4501026,33
426378,39,149.13.193.9,net,complete,yes,71,31,Americas,Europe,317.6590145,90
314257,35,47.158.186.231,com,complete,yes,216,53,Americas,Americas,246.5667326,456
487661,36,181.217.119.131,org,complete,yes,223,43,Americas,Asia,283.6402138,477
665473,20,26.106.69.218,tv,complete,no,83,78,Americas,Africa,126.1318655,286
14202,51,38.176.32.177,edu,complete,yes,97,49,Americas,Americas,17.72096278,46
548279,25,185.170.243.5,com,complete,yes,123,69,Europe,Asia,188.8177594,347
59852,28,106.157.215.99,com,incomplete,yes,58,70,Asia,Oceania,49.10089708,49
965228,24,167.30.1.57,org,complete,yes,202,84,Oceania,Africa,78.61635069,316
810892,34,56.233.165.223,com,complete,yes,157,77,Americas,Americas,272.1703902,195
497907,44,223.195.206.166,com,incomplete,yes,268,53,Asia,Europe,211.1369419,561
1018171,36,34.194.245.17,com,complete,yes,115,14,Americas,Asia,328.0577722,809
849211,27,204.196.1.117,edu,complete,no,56,74,Americas,Europe,89.583849,236
630037,26,26.174.25.13,org,complete,yes,23,106,Americas,Asia,267.0532544,1826
1046183,42,135.131.222.15,org,complete,yes,28,34,Americas,Americas,190.8045276,37
38551,38,79.199.126.30,com,incomplete,yes,155,75,Europe,Oceania,140.8590877,631
409130,29,24.57.35.121,com,incomplete,yes,115,65,Americas,Americas,362.4415126,396
721752,25,126.184.235.45,com,complete,yes,139,23,Asia,Europe,97.63052809,172
630856,33,26.90.20.90,com,complete,yes,121,43,Americas,Asia,230.5583372,1502
732502,37,9.215.34.117,com,incomplete,no,181,61,Americas,Europe,348.7865912,1186
797084,68,68.202.78.25,com,complete,yes,83,43,Americas,Asia,34.80657912,36
872266,29,76.233.103.67,se,complete,yes,126,78,Americas,Europe,29.38953955,263
134570,27,219.36.143.22,com,complete,yes,215,91,Asia,Oceania,292.4917021,166
198292,26,40.11.145.131,com,complete,no,250,56,Americas,Americas,261.2598316,285
1196428,29,187.167.69.144,com,incomplete,no,429,394,Americas,Africa,17.76413866,7
714092,37,106.224.194.162,com,incomplete,yes,110,55,Asia,Asia,102.587499,1815
1180021,29,116.120.61.123,edu,incomplete,yes,206,46,Asia,Africa,343.8676514,2853
1035127,33,222.237.21.27,co.uk,complete,yes,171,38,Asia,Americas,25.03929366,195
900995,31,17.27.117.232,gov,complete,yes,106,23,Americas,Asia,117.8928699,262
1177718,47,220.27.31.168,com,complete,yes,178,45,Asia,Oceania,331.8046644,396
1065498,27,25.83.36.204,com,complete,yes,98,-8,Europe,Americas,144.456554,239
1021440,34,122.185.189.60,com,complete,yes,161,35,Asia,Oceania,256.7862217,634
643332,31,204.118.149.202,com,complete,yes,152,39,Americas,Europe,196.3334014,322
49290,62,3.154.246.155,net,complete,yes,237,31,Americas,Oceania,110.5611086,528
936394,19,90.101.59.26,org,complete,yes,159,47,Europe,Africa,1.777744804,4
1026250,35,67.108.216.21,com,complete,yes,223,34,Americas,Asia,15.57597835,92
1056738,26,87.29.201.229,com,complete,no,230,22,Europe,Asia,325.1326791,557
1115417,45,158.102.90.99,net,complete,yes,197,103,Europe,Asia,40.32579328,64
133672,33,93.135.160.106,com,complete,yes,106,61,Europe,Africa,44.31122353,139
625427,22,40.126.53.129,com,complete,no,163,28,Americas,Europe,21.8224323,17
344926,27,208.75.196.247,com,complete,yes,106,55,Americas,Africa,284.3245942,3018
58483,29,82.82.121.184,com,complete,yes,294,28,Europe,Europe,108.3218305,7
373735,38,210.163.11.66,com,complete,no,200,63,Asia,Asia,77.90733768,24
239453,25,88.28.147.119,ie,complete,yes,95,36,Europe,Americas,269.951087,1836
285013,29,93.244.38.178,com,complete,yes,206,23,Europe,Europe,237.574688,3071
259304,25,174.154.91.226,com,complete,yes,174,31,Americas,Europe,273.1690076,188
998792,55,197.23.6.186,com,incomplete,yes,180,71,Africa,Europe,94.18036826,129
1150983,30,69.232.126.212,org,complete,yes,131,56,Americas,Africa,266.9109268,408
556271,24,115.42.169.49,ch,complete,yes,91,-7,Asia,Oceania,321.7401684,242
740070,28,179.92.134.219,com,complete,yes,218,59,Americas,Americas,231.0313395,390
1189611,59,1.132.83.238,ca,complete,yes,98,17,Oceania,Europe,332.8879633,824
730128,46,209.105.95.130,com,complete,yes,193,27,Americas,Oceania,184.0278101,348
977389,38,213.79.245.120,com,incomplete,no,859,408,Europe,Americas,116.6306331,302
579990,42,39.237.83.179,com,complete,yes,116,19,Asia,Oceania,157.2033364,285
844745,35,219.81.182.205,com,complete,yes,162,48,Asia,Europe,170.2537181,199
425002,28,51.153.206.3,com,complete,yes,251,17,Europe,Americas,341.481843,2749
537098,39,161.187.102.130,org,complete,yes,132,103,Americas,Asia,349.8748421,646
495959,29,116.12.41.112,com,complete,no,244,67,Asia,Americas,201.5626462,133
582156,26,99.164.166.233,com,incomplete,yes,171,67,Americas,Asia,146.3432581,358
693168,32,84.104.23.54,com,complete,yes,170,7,Europe,Europe,65.70560572,81
1127483,27,5.40.249.229,net,complete,no,125,69,Europe,Europe,264.4371477,651
127251,34,137.5.190.77,net,complete,yes,208,52,Americas,Oceania,174.0681936,1286
386391,19,220.11.9.148,biz,complete,no,157,59,Asia,Americas,105.0418428,171
1145211,32,58.12.68.243,net,complete,no,56,36,Asia,Europe,199.310607,448
940436,26,103.40.149.111,org,complete,yes,174,52,Asia,Europe,336.3739116,939
404398,48,218.88.63.50,com,incomplete,yes,200,77,Asia,Africa,54.99225796,146
720023,67,190.200.196.218,edu,complete,yes,193,52,Americas,Asia,288.7382882,18
140229,32,55.82.20.59,com,incomplete,yes,232,50,Americas,Asia,81.96352807,251
796217,67,9.138.71.220,com,incomplete,yes,109,82,Americas,Africa,59.94597651,17
710284,27,47.197.209.213,ca,incomplete,yes,82,28,Americas,Europe,69.23613398,94
816238,43,139.249.40.11,com,incomplete,yes,183,68,Americas,Oceania,97.50297182,323
298162,70,77.85.183.7,com,complete,yes,212,43,Europe,Africa,73.4000845,94
254171,36,91.68.116.217,com,incomplete,yes,58,93,Europe,Oceania,278.3996904,137
356090,26,150.231.215.174,com,complete,yes,148,40,Americas,Oceania,37.14184506,46
788607,27,139.15.146.97,com,incomplete,yes,186,33,Europe,Americas,136.5475841,834
591396,32,186.158.161.163,co.uk,complete,no,217,-3,Americas,Americas,142.0759792,1431
657951,33,19.86.181.100,org,incomplete,yes,208,82,Americas,Americas,45.6090065,147
156003,32,100.133.186.115,com,incomplete,yes,193,29,Americas,Europe,129.1654987,322
774612,67,44.60.17.205,org,complete,yes,71,50,Americas,Oceania,63.53851275,154
729337,24,147.53.102.12,com,complete,yes,154,27,Americas,Americas,162.5829305,405
555342,92,63.103.157.104,com,complete,yes,182,33,Americas,Oceania,364.7690741,661
694351,22,152.214.234.64,com,complete,yes,199,76,Americas,Europe,142.5517608,508
1013922,36,60.43.145.201,org,complete,no,273,33,Asia,Americas,131.0464864,122
788924,35,214.42.243.201,com,complete,yes,214,15,Americas,Asia,19.05667205,47
502176,23,204.240.120.236,cz,complete,yes,174,23,Americas,Europe,333.7606751,289
1195596,30,123.126.32.52,com,complete,yes,106,19,Asia,Asia,113.9534361,82
88005,30,97.18.162.21,co.uk,incomplete,yes,177,33,Americas,Europe,130.8727067,44
872715,34,44.214.9.160,org,incomplete,yes,229,19,Americas,Americas,320.670539,190
638508,34,188.217.240.119,it,complete,yes,167,54,Europe,Americas,89.31363077,164
617389,53,198.190.244.63,com,complete,yes,204,9,Americas,Oceania,335.0267668,773
485850,23,86.158.163.12,com,incomplete,no,849,644,Europe,Europe,324.0066671,150
966019,26,139.84.70.1,com,complete,yes,252,74,Americas,Oceania,128.9323041,156
415024,49,77.87.71.24,edu,complete,yes,208,11,Europe,Africa,244.5855286,487
560549,39,98.16.200.136,org,complete,yes,115,22,Americas,Oceania,144.6316255,484
752466,79,12.145.144.188,com,complete,no,112,56,Americas,Asia,244.4047407,188
877924,56,167.176.36.188,edu,complete,no,136,70,Americas,Europe,328.0289128,71
435802,36,125.226.74.24,com,incomplete,yes,136,61,Asia,Europe,170.82005,507
397536,28,140.182.237.228,blogspot.com,complete,no,174,68,Americas,Africa,65.61741374,60
431527,25,14.58.162.230,com,complete,yes,226,23,Asia,Europe,163.9756877,316
761768,23,71.202.40.222,org,incomplete,yes,168,3,Americas,Africa,114.2589137,2429
1057229,24,214.199.3.62,fr,complete,no,787,357,Americas,Oceania,124.611619,279
750269,42,29.151.108.105,org,incomplete,no,174,66,Americas,Africa,106.8722729,338
1092109,29,86.14.226.84,com,complete,yes,257,67,Europe,Americas,265.5484973,354
856294,33,193.79.168.207,com,complete,yes,149,43,Europe,Americas,140.6033414,674
517387,28,43.23.213.33,com,complete,yes,175,97,Asia,Asia,154.2697616,162
1079196,21,198.47.182.129,net,complete,no,193,35,Americas,Europe,175.4272174,167
662450,25,186.27.63.96,com,complete,yes,206,32,Americas,Oceania,225.9635219,2131
93601,24,87.86.212.81,com,complete,yes,81,50,Europe,Asia,305.1272715,14
367626,47,222.93.108.32,net,complete,no,221,20,Asia,Africa,228.6088036,207
544039,20,121.78.224.228,com,complete,yes,140,68,Asia,Oceania,328.0313397,747
11359,39,22.84.203.61,com,complete,yes,181,61,Americas,Africa,127.507721,130
998262,36,65.214.24.161,org,complete,yes,217,34,Americas,Africa,173.8900988,180
1025949,43,218.176.82.78,com,complete,yes,144,39,Asia,Asia,27.25403296,95
793775,44,65.87.150.157,com,complete,yes,169,14,Americas,Africa,76.38901331,39
71177,25,168.116.190.13,com,incomplete,yes,918,702,Americas,Oceania,200.5074854,359
848773,35,216.101.222.62,com,complete,no,226,60,Americas,Oceania,279.8563247,581
775520,24,43.12.74.195,com,complete,no,96,45,Asia,Asia,340.893562,1162
248851,22,195.135.92.199,org,complete,no,207,67,Europe,Africa,225.3709568,594
921377,26,182.77.48.194,net,complete,yes,62,79,Asia,Americas,227.3707626,108
99800,27,45.204.214.139,com,incomplete,yes,142,76,Asia,Asia,290.8816744,469
366886,45,100.226.245.173,com,complete,yes,287,77,Americas,Europe,183.0377348,134
1114026,39,80.158.176.17,co.uk,complete,yes,191,64,Europe,Africa,232.467853,106
507304,35,73.169.215.226,com,incomplete,yes,116,75,Americas,Asia,46.90144514,16
641777,28,7.239.114.154,com,complete,yes,215,55,Americas,Africa,53.27804123,186
375918,39,72.186.232.249,com,complete,no,177,21,Americas,Americas,227.1940876,198
179953,38,38.212.147.12,org,complete,no,107,81,Americas,Asia,56.61867899,31
622710,23,19.16.175.185,com,complete,yes,179,71,Americas,Europe,127.3700882,262
409329,49,81.38.184.123,com,incomplete,no,522,247,Europe,Asia,171.8741611,159
123611,30,105.129.104.68,com,incomplete,no,21,58,Africa,Americas,317.6189832,2647
1008490,84,67.163.93.238,edu,complete,yes,90,50,Americas,Europe,274.4583665,435
755976,44,165.87.75.166,com,incomplete,no,115,31,Americas,Asia,73.69490953,144
95849,31,194.56.86.57,com,complete,yes,200,47,Europe,Oceania,277.9810569,2451
993411,30,106.244.193.67,org,incomplete,yes,207,71,Asia,Africa,232.5419568,234
613233,29,3.156.223.184,com,complete,yes,230,34,Americas,Europe,103.6137209,38
319315,29,193.19.218.178,com,complete,no,44,32,Europe,Africa,228.6547346,1003
1102900,52,4.160.155.206,com,incomplete,yes,250,53,Americas,Europe,102.5213526,33
376633,28,197.86.97.244,com,complete,yes,178,85,Africa,Africa,134.7140866,267
1047547,95,219.179.185.15,com,incomplete,yes,152,18,Asia,Asia,293.247203,910
944467,27,130.238.160.164,com,complete,yes,115,69,Europe,Oceania,294.5496243,355
984323,37,222.138.213.197,com,complete,yes,106,64,Asia,Europe,47.84373224,347
106375,85,141.159.21.13,nl,complete,yes,102,68,Americas,Europe,205.7663209,1380
262205,22,88.249.100.18,org,complete,yes,157,71,Asia,Asia,109.5409908,371
1013618,45,212.198.168.53,com,complete,no,122,12,Europe,Africa,157.1928432,386
489216,18,40.209.117.77,com,complete,yes,102,76,Americas,Americas,240.7495566,510
1174708,49,12.77.133.208,com,complete,yes,256,49,Americas,Asia,332.9725187,1532
668276,34,98.11.34.75,com,complete,yes,212,16,Americas,Europe,356.5252142,1331
1175244,18,146.132.204.166,be,complete,yes,252,25,Americas,Oceania,87.83323762,192
530470,28,20.195.17.89,com,complete,no,194,63,Americas,Americas,112.9740363,266
1020023,27,132.219.80.221,com,complete,yes,225,53,Americas,Oceania,226.9162564,475
1140089,77,15.131.30.45,com,complete,yes,264,86,Americas,Americas,46.2738037,64
1103076,58,120.101.48.140,com,complete,yes,159,72,Asia,Oceania,179.8995206,417
1087174,25,45.23.171.74,com,complete,yes,104,51,Americas,Asia,145.7634441,1352
824441,29,215.82.235.63,co.uk,complete,yes,92,44,Americas,Europe,70.60875043,173
784689,21,96.206.25.152,org,complete,yes,169,46,Americas,Asia,81.05738441,368
1044764,25,165.151.130.36,com,incomplete,no,224,45,Americas,Asia,300.2074084,3589
1112014,28,183.107.74.187,org.uk,complete,no,193,52,Asia,Americas,351.478319,5696
687878,39,171.248.29.57,de,complete,yes,89,65,Asia,Asia,169.0617474,1761
786127,28,108.158.229.195,com,incomplete,yes,96,51,Americas,Europe,32.15648413,76
1062846,37,148.232.125.186,edu,incomplete,yes,165,70,Americas,Americas,233.3547984,312
959737,30,40.69.114.52,org,incomplete,yes,114,17,Americas,Americas,4.423793403,20
16066,55,169.64.26.56,com,incomplete,yes,109,66,Americas,Oceania,183.929549,397
470598,32,187.108.227.94,com,incomplete,yes,130,35,Americas,Africa,157.3500673,426
290495,31,132.147.129.102,com,complete,yes,139,70,Americas,Asia,261.5340444,464
903331,28,93.87.24.167,com,complete,yes,241,44,Europe,Americas,273.68303,2176
923704,47,136.234.85.16,com,complete,no,99,55,Americas,Oceania,327.1842014,1150
79009,30,143.49.137.65,org,complete,yes,233,27,Americas,Europe,115.109355,515
398597,155,207.6.63.80,com,complete,yes,254,43,Americas,Asia,31.84130291,45
675729,28,61.198.201.11,com,complete,no,115,88,Asia,Asia,60.81451885,169
